For the 1:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,90,165,0
Stop Number,Average People,Maximum People,Minimum People
1,87,178,0
Stop Number,Average People,Maximum People,Minimum People
2,81,195,0
Stop Number,Average People,Maximum People,Minimum People
3,55,193,0
Stop Number,Average People,Maximum People,Minimum People
4,23,33,0
Stop Number,Average People,Maximum People,Minimum People
5,25,35,0
Stop Number,Average People,Maximum People,Minimum People
6,25,38,0
Stop Number,Average People,Maximum People,Minimum People
7,30,42,0
Stop Number,Average People,Maximum People,Minimum People
8,24,33,0
Stop Number,Average People,Maximum People,Minimum People
9,24,31,0
Stop Number,Average People,Maximum People,Minimum People
10,28,35,20
Stop Number,Average People,Maximum People,Minimum People
11,41,70,25
Stop Number,Average People,Maximum People,Minimum People
12,47,85,20
Stop Number,Average People,Maximum People,Minimum People
13,71,126,28
Stop Number,Average People,Maximum People,Minimum People
14,93,149,35
For the 1:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,10,11,3584.0,Y,
2,11,12,3584.0,Y,
3,12,13,3584.0,Y,
4,13,14,3584.0,Y,
5,14,15,3584.0,Y,
6,15,1,3584.0,Y,
7,1,2,3584.0,Y,
8,2,3,3584.0,Y,
9,3,4,3584.0,Y,
10,4,5,3584.0,Y,
For the 2:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,33,51,18
Stop Number,Average People,Maximum People,Minimum People
1,36,88,25
Stop Number,Average People,Maximum People,Minimum People
2,48,146,21
Stop Number,Average People,Maximum People,Minimum People
3,63,188,25
Stop Number,Average People,Maximum People,Minimum People
4,94,213,20
Stop Number,Average People,Maximum People,Minimum People
5,112,225,28
Stop Number,Average People,Maximum People,Minimum People
6,129,219,33
Stop Number,Average People,Maximum People,Minimum People
7,144,221,67
Stop Number,Average People,Maximum People,Minimum People
8,195,244,35
Stop Number,Average People,Maximum People,Minimum People
9,206,234,22
Stop Number,Average People,Maximum People,Minimum People
10,128,223,24
Stop Number,Average People,Maximum People,Minimum People
11,27,30,21
Stop Number,Average People,Maximum People,Minimum People
12,38,39,25
Stop Number,Average People,Maximum People,Minimum People
13,37,51,21
Stop Number,Average People,Maximum People,Minimum People
14,31,45,21
For the 2:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,2,3,6902.0,N,2.5
2,3,4,6902.0,N,3.5
3,4,5,6902.0,N,4.5
4,5,6,6902.0,N,5.5
5,6,7,6902.0,N,6.5
6,7,8,6902.0,N,7.5
7,8,9,6902.0,N,8.5
8,9,10,6902.0,N,9.5
9,10,11,6902.0,N,10.5
10,11,12,6902.0,N,11.5
For the 3:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,160,239,60
Stop Number,Average People,Maximum People,Minimum People
1,172,231,17
Stop Number,Average People,Maximum People,Minimum People
2,142,220,20
Stop Number,Average People,Maximum People,Minimum People
3,104,261,18
Stop Number,Average People,Maximum People,Minimum People
4,34,41,21
Stop Number,Average People,Maximum People,Minimum People
5,34,42,19
Stop Number,Average People,Maximum People,Minimum People
6,34,41,23
Stop Number,Average People,Maximum People,Minimum People
7,34,42,19
Stop Number,Average People,Maximum People,Minimum People
8,39,95,25
Stop Number,Average People,Maximum People,Minimum People
9,51,131,23
Stop Number,Average People,Maximum People,Minimum People
10,60,166,26
Stop Number,Average People,Maximum People,Minimum People
11,100,237,31
Stop Number,Average People,Maximum People,Minimum People
12,104,229,33
Stop Number,Average People,Maximum People,Minimum People
13,105,228,23
Stop Number,Average People,Maximum People,Minimum People
14,132,233,32
For the 3:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,10,11,10778.0,Y,
2,11,12,10778.0,Y,
3,12,13,10778.0,Y,
4,13,14,10778.0,Y,
5,14,15,10778.0,Y,
6,15,1,10778.0,Y,
7,1,2,10778.0,Y,
8,2,3,10778.0,Y,
9,3,4,10778.0,Y,
10,4,5,10778.0,Y,
For the 4:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,38,71,30
Stop Number,Average People,Maximum People,Minimum People
1,35,103,29
Stop Number,Average People,Maximum People,Minimum People
2,51,163,19
Stop Number,Average People,Maximum People,Minimum People
3,88,253,26
Stop Number,Average People,Maximum People,Minimum People
4,117,253,32
Stop Number,Average People,Maximum People,Minimum People
5,97,210,39
Stop Number,Average People,Maximum People,Minimum People
6,138,251,32
Stop Number,Average People,Maximum People,Minimum People
7,139,220,58
Stop Number,Average People,Maximum People,Minimum People
8,157,216,29
Stop Number,Average People,Maximum People,Minimum People
9,243,267,27
Stop Number,Average People,Maximum People,Minimum People
10,155,267,27
Stop Number,Average People,Maximum People,Minimum People
11,31,33,25
Stop Number,Average People,Maximum People,Minimum People
12,31,37,25
Stop Number,Average People,Maximum People,Minimum People
13,31,39,21
Stop Number,Average People,Maximum People,Minimum People
14,36,42,22
For the 4:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,2,3,14184.0,N,2.5
2,3,4,14184.0,N,3.5
3,4,5,14184.0,N,4.5
4,5,6,14184.0,N,5.5
5,6,7,14184.0,N,6.5
6,7,8,14184.0,N,7.5
7,8,9,14184.0,N,8.5
8,9,10,14184.0,N,9.5
9,10,11,14184.0,N,10.5
10,11,12,14184.0,N,11.5
For the 5:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,201,255,67
Stop Number,Average People,Maximum People,Minimum People
1,198,219,9
Stop Number,Average People,Maximum People,Minimum People
2,143,251,19
Stop Number,Average People,Maximum People,Minimum People
3,37,46,13
Stop Number,Average People,Maximum People,Minimum People
4,37,41,17
Stop Number,Average People,Maximum People,Minimum People
5,35,43,17
Stop Number,Average People,Maximum People,Minimum People
6,33,38,17
Stop Number,Average People,Maximum People,Minimum People
7,31,35,1
Stop Number,Average People,Maximum People,Minimum People
8,35,48,29
Stop Number,Average People,Maximum People,Minimum People
9,67,169,24
Stop Number,Average People,Maximum People,Minimum People
10,82,206,26
Stop Number,Average People,Maximum People,Minimum People
11,105,238,20
Stop Number,Average People,Maximum People,Minimum People
12,107,225,26
Stop Number,Average People,Maximum People,Minimum People
13,129,239,21
Stop Number,Average People,Maximum People,Minimum People
14,167,234,92
For the 5:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,9,10,17600.0,N,9.5
2,10,11,17600.0,N,10.5
3,11,12,17600.0,N,11.5
4,12,13,17600.0,N,12.5
5,13,14,17600.0,N,13.5
6,14,15,17600.0,N,14.5
7,15,1,17600.0,N,0.5
8,1,2,17600.0,N,1.5
9,2,3,17600.0,N,2.5
10,3,4,17600.0,N,3.5
For the 6:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,40,94,25
Stop Number,Average People,Maximum People,Minimum People
1,45,114,16
Stop Number,Average People,Maximum People,Minimum People
2,74,198,32
Stop Number,Average People,Maximum People,Minimum People
3,108,252,34
Stop Number,Average People,Maximum People,Minimum People
4,94,209,22
Stop Number,Average People,Maximum People,Minimum People
5,103,220,26
Stop Number,Average People,Maximum People,Minimum People
6,125,233,24
Stop Number,Average People,Maximum People,Minimum People
7,140,225,57
Stop Number,Average People,Maximum People,Minimum People
8,184,236,28
Stop Number,Average People,Maximum People,Minimum People
9,170,272,15
Stop Number,Average People,Maximum People,Minimum People
10,87,201,24
Stop Number,Average People,Maximum People,Minimum People
11,32,37,29
Stop Number,Average People,Maximum People,Minimum People
12,33,36,26
Stop Number,Average People,Maximum People,Minimum People
13,36,43,32
Stop Number,Average People,Maximum People,Minimum People
14,37,52,20
For the 6:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,2,3,21490.0,N,2.5
2,3,4,21490.0,N,3.5
3,4,5,21490.0,N,4.5
4,5,6,21490.0,N,5.5
5,6,7,21490.0,N,6.5
6,7,8,21490.0,N,7.5
7,8,9,21490.0,Y,
8,9,10,21490.0,Y,
9,10,11,21490.0,Y,
10,11,12,21490.0,Y,
For the 7:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,183,236,43
Stop Number,Average People,Maximum People,Minimum People
1,232,255,5
Stop Number,Average People,Maximum People,Minimum People
2,123,221,0
Stop Number,Average People,Maximum People,Minimum People
3,40,50,1
Stop Number,Average People,Maximum People,Minimum People
4,31,35,2
Stop Number,Average People,Maximum People,Minimum People
5,31,39,2
Stop Number,Average People,Maximum People,Minimum People
6,34,37,3
Stop Number,Average People,Maximum People,Minimum People
7,32,40,11
Stop Number,Average People,Maximum People,Minimum People
8,39,85,28
Stop Number,Average People,Maximum People,Minimum People
9,69,176,22
Stop Number,Average People,Maximum People,Minimum People
10,61,157,27
Stop Number,Average People,Maximum People,Minimum People
11,111,245,27
Stop Number,Average People,Maximum People,Minimum People
12,106,233,28
Stop Number,Average People,Maximum People,Minimum People
13,130,237,27
Stop Number,Average People,Maximum People,Minimum People
14,163,235,74
For the 7:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,9,10,24878.0,N,9.5
2,10,11,24878.0,N,10.5
3,11,12,24878.0,N,11.5
4,12,13,24878.0,N,12.5
5,13,14,24878.0,N,13.5
6,14,15,24878.0,N,14.5
7,15,1,24878.0,N,0.5
8,1,2,24878.0,N,1.5
9,2,3,24878.0,N,2.5
10,3,4,24878.0,N,3.5
For the 8:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,38,75,20
Stop Number,Average People,Maximum People,Minimum People
1,63,163,28
Stop Number,Average People,Maximum People,Minimum People
2,66,167,24
Stop Number,Average People,Maximum People,Minimum People
3,94,232,22
Stop Number,Average People,Maximum People,Minimum People
4,93,213,21
Stop Number,Average People,Maximum People,Minimum People
5,102,220,29
Stop Number,Average People,Maximum People,Minimum People
6,129,237,29
Stop Number,Average People,Maximum People,Minimum People
7,173,256,66
Stop Number,Average People,Maximum People,Minimum People
8,204,256,10
Stop Number,Average People,Maximum People,Minimum People
9,147,235,12
Stop Number,Average People,Maximum People,Minimum People
10,103,243,19
Stop Number,Average People,Maximum People,Minimum People
11,29,37,12
Stop Number,Average People,Maximum People,Minimum People
12,34,42,20
