For the 1:00:00 hour  Minimum Maximum and Average No Of People at each stop,,,,,
,,,,,
Stop Number,Average People,Maximum People,Minimum People,,
0,46,82,0,,
Stop Number,Average People,Maximum People,Minimum People,,
1,68,97,25,,
Stop Number,Average People,Maximum People,Minimum People,,
2,52,93,0,,
Stop Number,Average People,Maximum People,Minimum People,,
3,81,131,19,,
Stop Number,Average People,Maximum People,Minimum People,,
4,53,89,0,,
Stop Number,Average People,Maximum People,Minimum People,,
5,54,83,24,,
Stop Number,Average People,Maximum People,Minimum People,,
6,40,73,0,,
Stop Number,Average People,Maximum People,Minimum People,,
7,51,81,16,,
Stop Number,Average People,Maximum People,Minimum People,,
8,64,123,0,,
Stop Number,Average People,Maximum People,Minimum People,,
9,61,90,23,,
Stop Number,Average People,Maximum People,Minimum People,,
10,45,74,0,,
Stop Number,Average People,Maximum People,Minimum People,,
11,49,65,16,,
Stop Number,Average People,Maximum People,Minimum People,,
12,63,106,0,,
Stop Number,Average People,Maximum People,Minimum People,,
13,63,92,21,,
Stop Number,Average People,Maximum People,Minimum People,,
14,53,95,0,,
Stop Number,Average People,Maximum People,Minimum People,,
15,75,102,30,,
Stop Number,Average People,Maximum People,Minimum People,,
16,43,64,0,,
Stop Number,Average People,Maximum People,Minimum People,,
17,52,75,23,,
Stop Number,Average People,Maximum People,Minimum People,,
18,52,94,0,,
Stop Number,Average People,Maximum People,Minimum People,,
19,57,92,17,,
Stop Number,Average People,Maximum People,Minimum People,,
20,59,109,0,,
Stop Number,Average People,Maximum People,Minimum People,,
21,74,103,27,,
Stop Number,Average People,Maximum People,Minimum People,,
22,49,80,0,,
Stop Number,Average People,Maximum People,Minimum People,,
23,63,97,26,,
Stop Number,Average People,Maximum People,Minimum People,,
24,41,62,0,,
Stop Number,Average People,Maximum People,Minimum People,,
25,62,101,24,,
Stop Number,Average People,Maximum People,Minimum People,,
26,56,98,0,,
Stop Number,Average People,Maximum People,Minimum People,,
27,64,106,18,,
Stop Number,Average People,Maximum People,Minimum People,,
28,56,99,0,,
Stop Number,Average People,Maximum People,Minimum People,,
29,60,91,19,,
For the 1:00:00 hour snapshots of busses at their respective stops,,,,,
,,,,,
Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,8,9,3284,N,8.5
2,10,11,3284,N,10.5
3,12,13,3284,N,12.5
4,14,15,3284,N,14.5
5,16,17,3284,N,16.5
6,18,19,3284,N,18.5
7,20,21,3284,N,20.5
8,22,23,3284,N,22.5
9,24,25,3284,N,24.5
10,26,27,3284,N,26.5
11,28,29,3284,N,28.5
12,30,1,3284,N,0.5
13,2,3,3284,N,2.5
14,4,5,3284,N,4.5
15,6,7,3284,N,6.5
For the 2:00:00 hour  Minimum Maximum and Average No Of People at each stop,,,,,
,,,,,
Stop Number,Average People,Maximum People,Minimum People,,
0,92,101,66,,
Stop Number,Average People,Maximum People,Minimum People,,
1,101,105,37,,
Stop Number,Average People,Maximum People,Minimum People,,
2,110,119,94,,
Stop Number,Average People,Maximum People,Minimum People,,
3,149,153,80,,
Stop Number,Average People,Maximum People,Minimum People,,
4,88,101,81,,
Stop Number,Average People,Maximum People,Minimum People,,
5,99,110,35,,
Stop Number,Average People,Maximum People,Minimum People,,
6,65,70,54,,
Stop Number,Average People,Maximum People,Minimum People,,
7,92,100,35,,
Stop Number,Average People,Maximum People,Minimum People,,
8,115,121,99,,
Stop Number,Average People,Maximum People,Minimum People,,
9,114,116,33,,
Stop Number,Average People,Maximum People,Minimum People,,
10,94,97,72,,
Stop Number,Average People,Maximum People,Minimum People,,
11,77,85,17,,
Stop Number,Average People,Maximum People,Minimum People,,
12,124,132,102,,
Stop Number,Average People,Maximum People,Minimum People,,
13,110,115,40,,
Stop Number,Average People,Maximum People,Minimum People,,
14,97,101,81,,
Stop Number,Average People,Maximum People,Minimum People,,
15,133,147,52,,
Stop Number,Average People,Maximum People,Minimum People,,
16,63,70,39,,
Stop Number,Average People,Maximum People,Minimum People,,
17,70,71,26,,
Stop Number,Average People,Maximum People,Minimum People,,
18,106,123,81,,
Stop Number,Average People,Maximum People,Minimum People,,
19,87,92,39,,
Stop Number,Average People,Maximum People,Minimum People,,
20,112,115,90,,
Stop Number,Average People,Maximum People,Minimum People,,
21,106,110,52,,
Stop Number,Average People,Maximum People,Minimum People,,
22,93,95,74,,
Stop Number,Average People,Maximum People,Minimum People,,
23,103,116,41,,
Stop Number,Average People,Maximum People,Minimum People,,
24,77,83,47,,
Stop Number,Average People,Maximum People,Minimum People,,
25,121,125,51,,
Stop Number,Average People,Maximum People,Minimum People,,
26,113,118,92,,
Stop Number,Average People,Maximum People,Minimum People,,
27,121,130,57,,
Stop Number,Average People,Maximum People,Minimum People,,
28,123,127,100,,
Stop Number,Average People,Maximum People,Minimum People,,
29,91,100,27,,
For the 2:00:00 hour snapshots of busses at their respective stops,,,,,
,,,,,
Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,14,15,6992,Y,
2,16,17,6992,Y,
3,18,19,6992,Y,
4,20,21,6992,Y,
5,22,23,6992,Y,
6,24,25,6992,Y,
7,26,27,6992,Y,
8,28,29,6992,Y,
9,30,1,6992,Y,
10,2,3,6992,Y,
11,4,5,6992,Y,
12,6,7,6992,Y,
13,8,9,6992,Y,
14,10,11,6992,Y,
15,12,13,6992,Y,
For the 3:00:00 hour  Minimum Maximum and Average No Of People at each stop,,,,,
,,,,,
Stop Number,Average People,Maximum People,Minimum People,,
0,116,125,79,,
Stop Number,Average People,Maximum People,Minimum People,,
1,90,92,52,,
Stop Number,Average People,Maximum People,Minimum People,,
2,97,99,76,,
Stop Number,Average People,Maximum People,Minimum People,,
3,155,163,108,,
Stop Number,Average People,Maximum People,Minimum People,,
4,95,102,57,,
Stop Number,Average People,Maximum People,Minimum People,,
5,83,86,73,,
Stop Number,Average People,Maximum People,Minimum People,,
6,89,95,45,,
Stop Number,Average People,Maximum People,Minimum People,,
7,97,97,53,,
Stop Number,Average People,Maximum People,Minimum People,,
8,122,130,90,,
Stop Number,Average People,Maximum People,Minimum People,,
9,119,123,73,,
Stop Number,Average People,Maximum People,Minimum People,,
10,98,104,56,,
Stop Number,Average People,Maximum People,Minimum People,,
11,59,60,25,,
Stop Number,Average People,Maximum People,Minimum People,,
12,122,125,94,,
Stop Number,Average People,Maximum People,Minimum People,,
13,114,116,78,,
Stop Number,Average People,Maximum People,Minimum People,,
14,91,93,68,,
Stop Number,Average People,Maximum People,Minimum People,,
15,148,150,107,,
Stop Number,Average People,Maximum People,Minimum People,,
16,83,88,47,,
Stop Number,Average People,Maximum People,Minimum People,,
17,80,82,31,,
Stop Number,Average People,Maximum People,Minimum People,,
18,98,108,82,,
Stop Number,Average People,Maximum People,Minimum People,,
19,94,103,45,,
Stop Number,Average People,Maximum People,Minimum People,,
20,117,121,92,,
Stop Number,Average People,Maximum People,Minimum People,,
21,113,119,65,,
Stop Number,Average People,Maximum People,Minimum People,,
22,103,106,69,,
Stop Number,Average People,Maximum People,Minimum People,,
23,112,112,78,,
Stop Number,Average People,Maximum People,Minimum People,,
24,87,92,55,,
Stop Number,Average People,Maximum People,Minimum People,,
25,158,163,94,,
Stop Number,Average People,Maximum People,Minimum People,,
26,118,122,89,,
Stop Number,Average People,Maximum People,Minimum People,,
27,125,129,84,,
Stop Number,Average People,Maximum People,Minimum People,,
28,144,148,100,,
Stop Number,Average People,Maximum People,Minimum People,,
29,90,97,56,,
For the 3:00:00 hour snapshots of busses at their respective stops,,,,,
,,,,,
Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,19,20,10184,N,19.5
2,21,22,10184,N,21.5
3,23,24,10184,N,23.5
4,25,26,10184,N,25.5
5,27,28,10184,N,27.5
6,29,30,10184,N,29.5
7,1,2,10184,N,1.5
8,3,4,10184,N,3.5
9,5,6,10184,N,5.5
10,7,8,10184,N,7.5
11,9,10,10184,N,9.5
12,11,12,10184,N,11.5
13,13,14,10184,N,13.5
14,15,16,10184,N,15.5
15,17,18,10184,N,17.5
For the 4:00:00 hour  Minimum Maximum and Average No Of People at each stop,,,,,
,,,,,
