For the 1:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,110,212,0
Stop Number,Average People,Maximum People,Minimum People
1,118,221,24
Stop Number,Average People,Maximum People,Minimum People
2,170,283,52
Stop Number,Average People,Maximum People,Minimum People
3,112,228,0
Stop Number,Average People,Maximum People,Minimum People
4,128,236,26
Stop Number,Average People,Maximum People,Minimum People
5,136,232,47
Stop Number,Average People,Maximum People,Minimum People
6,113,236,0
Stop Number,Average People,Maximum People,Minimum People
7,132,235,28
Stop Number,Average People,Maximum People,Minimum People
8,166,289,49
Stop Number,Average People,Maximum People,Minimum People
9,99,200,0
Stop Number,Average People,Maximum People,Minimum People
10,154,274,38
Stop Number,Average People,Maximum People,Minimum People
11,167,266,69
Stop Number,Average People,Maximum People,Minimum People
12,121,231,0
Stop Number,Average People,Maximum People,Minimum People
13,123,225,24
Stop Number,Average People,Maximum People,Minimum People
14,155,262,57
For the 1:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,12,13,3432.0,N,12.5
2,15,1,3432.0,N,0.5
3,3,4,3432.0,N,3.5
4,6,7,3432.0,N,6.5
5,9,10,3432.0,N,9.5
For the 2:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,380,476,262
Stop Number,Average People,Maximum People,Minimum People
1,407,513,263
Stop Number,Average People,Maximum People,Minimum People
2,471,586,294
Stop Number,Average People,Maximum People,Minimum People
3,399,518,280
Stop Number,Average People,Maximum People,Minimum People
4,419,533,274
Stop Number,Average People,Maximum People,Minimum People
5,420,530,251
Stop Number,Average People,Maximum People,Minimum People
6,423,534,304
Stop Number,Average People,Maximum People,Minimum People
7,403,510,272
Stop Number,Average People,Maximum People,Minimum People
8,452,563,299
Stop Number,Average People,Maximum People,Minimum People
9,374,477,253
Stop Number,Average People,Maximum People,Minimum People
10,441,550,303
Stop Number,Average People,Maximum People,Minimum People
11,437,540,276
Stop Number,Average People,Maximum People,Minimum People
12,449,567,311
Stop Number,Average People,Maximum People,Minimum People
13,415,524,253
Stop Number,Average People,Maximum People,Minimum People
14,426,529,266
For the 2:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,9,10,7176.0,N,9.5
2,12,13,7176.0,N,12.5
3,15,1,7176.0,N,0.5
4,3,4,7176.0,N,3.5
5,6,7,7176.0,N,6.5
For the 3:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,658,771,526
Stop Number,Average People,Maximum People,Minimum People
1,683,789,519
Stop Number,Average People,Maximum People,Minimum People
2,750,833,583
Stop Number,Average People,Maximum People,Minimum People
3,676,788,558
Stop Number,Average People,Maximum People,Minimum People
4,720,830,558
Stop Number,Average People,Maximum People,Minimum People
5,668,744,525
Stop Number,Average People,Maximum People,Minimum People
6,723,827,591
Stop Number,Average People,Maximum People,Minimum People
7,689,801,530
Stop Number,Average People,Maximum People,Minimum People
8,737,818,558
Stop Number,Average People,Maximum People,Minimum People
9,657,758,535
Stop Number,Average People,Maximum People,Minimum People
10,718,824,570
Stop Number,Average People,Maximum People,Minimum People
11,672,741,538
