For the 1:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,120,222,0
Stop Number,Average People,Maximum People,Minimum People
1,84,134,28
Stop Number,Average People,Maximum People,Minimum People
2,117,174,53
Stop Number,Average People,Maximum People,Minimum People
3,99,185,0
Stop Number,Average People,Maximum People,Minimum People
4,61,102,21
Stop Number,Average People,Maximum People,Minimum People
5,104,164,42
Stop Number,Average People,Maximum People,Minimum People
6,117,216,0
Stop Number,Average People,Maximum People,Minimum People
7,88,144,22
Stop Number,Average People,Maximum People,Minimum People
8,114,186,45
Stop Number,Average People,Maximum People,Minimum People
9,115,208,0
Stop Number,Average People,Maximum People,Minimum People
10,82,130,26
Stop Number,Average People,Maximum People,Minimum People
11,137,225,51
Stop Number,Average People,Maximum People,Minimum People
12,90,171,0
Stop Number,Average People,Maximum People,Minimum People
13,76,127,20
Stop Number,Average People,Maximum People,Minimum People
14,125,192,54
For the 1:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,10,11,3446.0,N,10.5
2,13,14,3446.0,N,13.5
3,1,2,3446.0,N,1.5
4,4,5,3446.0,N,4.5
5,7,8,3446.0,N,7.5
For the 2:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,280,295,178
Stop Number,Average People,Maximum People,Minimum People
1,151,168,110
Stop Number,Average People,Maximum People,Minimum People
2,315,401,181
Stop Number,Average People,Maximum People,Minimum People
3,257,275,136
Stop Number,Average People,Maximum People,Minimum People
4,107,126,71
Stop Number,Average People,Maximum People,Minimum People
5,321,388,188
Stop Number,Average People,Maximum People,Minimum People
6,287,313,164
Stop Number,Average People,Maximum People,Minimum People
7,166,178,121
Stop Number,Average People,Maximum People,Minimum People
8,298,363,184
Stop Number,Average People,Maximum People,Minimum People
9,260,281,158
Stop Number,Average People,Maximum People,Minimum People
10,130,151,91
Stop Number,Average People,Maximum People,Minimum People
11,368,441,234
Stop Number,Average People,Maximum People,Minimum People
12,252,268,125
Stop Number,Average People,Maximum People,Minimum People
13,130,139,101
Stop Number,Average People,Maximum People,Minimum People
14,358,432,209
For the 2:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,3,4,7052.0,N,3.5
2,6,7,7052.0,N,6.5
3,9,10,7052.0,N,9.5
4,12,13,7052.0,N,12.5
5,15,1,7052.0,N,0.5
For the 3:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,367,409,306
Stop Number,Average People,Maximum People,Minimum People
1,159,163,102
Stop Number,Average People,Maximum People,Minimum People
2,484,509,365
Stop Number,Average People,Maximum People,Minimum People
3,366,427,289
Stop Number,Average People,Maximum People,Minimum People
4,109,113,56
Stop Number,Average People,Maximum People,Minimum People
5,470,500,355
Stop Number,Average People,Maximum People,Minimum People
6,402,429,355
Stop Number,Average People,Maximum People,Minimum People
7,143,150,104
Stop Number,Average People,Maximum People,Minimum People
8,456,485,327
Stop Number,Average People,Maximum People,Minimum People
9,374,420,314
Stop Number,Average People,Maximum People,Minimum People
10,164,167,91
Stop Number,Average People,Maximum People,Minimum People
11,529,567,405
Stop Number,Average People,Maximum People,Minimum People
12,348,387,286
Stop Number,Average People,Maximum People,Minimum People
13,143,161,77
Stop Number,Average People,Maximum People,Minimum People
14,552,586,394
For the 3:00:00 hour snapshots of busses at their respective stops

Bus No,Last Stop,Next Stop,Last Stop Arrival time,Bus At Stop, Bus Beetween Stops
1,11,12,10574.0,N,11.5
2,14,15,10574.0,N,14.5
3,2,3,10574.0,N,2.5
4,5,6,10574.0,N,5.5
5,8,9,10574.0,N,8.5
For the 4:00:00 hour  Minimum Maximum and Average No Of People at each stop

Stop Number,Average People,Maximum People,Minimum People
0,487,531,396
Stop Number,Average People,Maximum People,Minimum People
1,168,181,72
Stop Number,Average People,Maximum People,Minimum People
2,638,711,535
Stop Number,Average People,Maximum People,Minimum People
3,510,548,422
Stop Number,Average People,Maximum People,Minimum People
4,94,101,16
Stop Number,Average People,Maximum People,Minimum People
5,668,742,552
